"Reference:","B3455840"
"Date:","Thu Jun 02 2022 16:26:26 GMT+0200 (Midden-Europese zomertijd)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"C8, C10, C12, C14, C20, C23, C33, C63, C67, C69","10","GPC0603104-25","Generic part","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"R12, R13, R14, R15, R16, R17","6","GPR06030R","Generic part","0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"C5, C16","2","GPC0603106-10","Generic part","10µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C1, C6, C22, C24, C27, C28, C64","7","GPC0603106-10","Generic part","10µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C29, C30, C39, C41","4","GPC0603104","Generic part","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C32","1","GPC0603101","Generic part","100pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"R2, R3, R4, R9","4","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"C26, C31","2","GPC0603100","Generic part","10pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"R7","1","GPR06031K","Generic part","0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
"C4, C7, C9, C11, C13, C15, C18, C19, C21, C50, C60, C65, C68","13","GPC0603105-16","Generic part","1µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C37","1","GPC0603221","Generic part","220pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"R1, R5, R8, R18","4","GPR0603270R","Generic part","0603, Res 270.0Ohm, 75V, 1.0%, 100mW"
"R22, R23","2","GPR06032M","Generic part","0603, Res 2.0MOhm, 75V, 1.0%, 100mW"
"C2, C3","2","GPC0603475-10","Generic part","4.7µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C35","1","CG0603MLC-05E","Bourns Inc.","TVS Varistor, 8 V, 5 V, ChipGuard MLC Series, 20 V, 0603 [1608 Metric], ESD Protector"
"J1, J10, J11","3","53398-1071","Molex","10 Positions Header Connector 0.049"" (1.25mm) Surface Mount Tin"
"D2, D3, D4","3","150120BS75000","Wurth","Blue 470nm LED Indication - Discrete 3.2V 1206 (3216 Metric)"
"D1","1","LS R976-NR-1","Osram","Standard LEDs - SMD Super Red, 633nm 180mcd, 20mA"
"C17, C25","2","C3225X6S0J107M250AC","TDK Corporation","100µF ±20% 6.3V Ceramic Capacitor X6S 1210 (3225 Metric)"
"L2, L3, L4","3","MLP2012S3R3MT","TDK","Multilayer Inductor, 3.3 µH, 0.19 ohm, 900 mA, 0805 [2012 Metric], MLP Series"
"R6, R10, R11, R25, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49","20","MCWF06R4991BTL","Multicomp","SMD Chip Resistor, 4.99 kohm, 75 V, Thin Film, 0603 [1608 Metric], 100 mW, ± 0.1%"
"L1","1","0805LS-682XJLB","Coilcraft","Inductance fixes 0805LS AEC-Q200 6.8 uH 5 % 0.26 A"
"JP24","1","087-1-008-0-S-XS0-1260","Mpe Garry","Conn Unshrouded Header HDR 8 POS 2.54mm Solder ST Thru-Hole"
"JP21","1","087-1-008-0-S-XS0-1260","Mpe Garry","Conn Unshrouded Header HDR 8 POS 2.54mm Solder ST Thru-Hole"
"JP26","1","087-1-008-0-S-XS0-1260","Mpe Garry","Conn Unshrouded Header HDR 8 POS 2.54mm Solder ST Thru-Hole"
"JP22","1","087-1-008-0-S-XS0-1260","Mpe Garry","Conn Unshrouded Header HDR 8 POS 2.54mm Solder ST Thru-Hole"
"JP25","1","087-1-008-0-S-XS0-1260","Mpe Garry","Conn Unshrouded Header HDR 8 POS 2.54mm Solder ST Thru-Hole"
"U3, U4","2","ADP151AUJZ-1.2-R7","Analog Devices","Linear Voltage Regulator IC Positive Fixed 1 Output  200mA TSOT-5"
"IC1","1","ADS1299IPAG","Texas Instruments","8 Channel AFE 24 Bit 42mW 64-TQFP (10x10)"
"ESD1, ESD2, ESD3, ESD4, ESD5, ESD6, ESD7, ESD8","8","ESD5V3U2U-03F H6327","Infineon Technologies","TVS DIODE 5.3VWM 15VC TSFP3"
"U2","1","MAX14483AAP+","Maxim Integrated","DGT ISOL 3750VRMS 6CH SPI 20SSOP"
"IC7, IC8","2","MCP6V91T-E/OT","Microchip Technology","Zero-Drift Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"JP20","1","087-2-010-0-F-XS0-1260","Mpe Garry","Pin Header 2,54 mm Series 087 10 pos"
"U1","1","R1SE-0505-R","Recom Power","Isolated Module DC DC Converter 1 Output 5V 200mA 4.5V - 5.5V Input"
"J4, J5, J6, J7, J8, J9","6","SJ1-3535NG","CUI","3.50mm (0.141"", 1/8"", Mini Plug) - Headphone Phone Jack Stereo (3 Conductor, TRS) Connector Solder"
"J2","1","SJ1-3535NG","CUI","3.50mm (0.141"", 1/8"", Mini Plug) - Headphone Phone Jack Stereo (3 Conductor, TRS) Connector Solder"
"J3","1","SJ1-3535NG","CUI","3.50mm (0.141"", 1/8"", Mini Plug) - Headphone Phone Jack Stereo (3 Conductor, TRS) Connector Solder"
"SW1","1","EVQQ2M01W","Panasonic","Tactile Switch, Non Illuminated, 15 V, 20 mA, 1.3 N, Solder"
